,pmid,doi,journal,country,title,authors,abstract,citation_count,published_at
20035,33758014,10.1136/bmjgh-2021-005300,BMJ global health,England,Employing learning health system principles to advance research on severe neonatal and paediatric illness in Kenya.,"Mike English, Grace Irimu, Samuel Akech, Jalemba Aluvaala, Morris Ogero, Lynda Isaaka, Lucas Malla, Timothy Tuti, David Gathara, Jacquie Oliwa, Ambrose Agweyu","<Abstract>
                <AbstractText>We have worked to develop a Clinical Information Network (CIN) in Kenya as an early form of learning health systems (LHS) focused on paediatric and neonatal care that now spans 22 hospitals. CIN's aim was to examine important outcomes of hospitalisation at scale, identify and ultimately solve practical problems of service delivery, drive improvements in quality and test interventions. By including multiple routine settings in research, we aimed to promote generalisability of findings and demonstrate potential efficiencies derived from LHS. We illustrate the nature and range of research CIN has supported over the past 7 years as a form of LHS. Clinically, this has largely focused on common, serious paediatric illnesses such as pneumonia, malaria and diarrhoea with dehydration with recent extensions to neonatal illnesses. CIN also enables examination of the quality of care, for example that provided to children with severe malnutrition and the challenges encountered in routine settings in adopting simple technologies (pulse oximetry) and more advanced diagnostics (eg, Xpert MTB/RIF). Although regular feedback to hospitals has been associated with some improvements in quality data continue to highlight system challenges that undermine provision of basic, quality care (eg, poor access to blood glucose testing and routine microbiology). These challenges include those associated with increased mortality risk (eg, delays in blood transfusion). Using the same data the CIN platform has enabled conduct of randomised trials and supports malaria vaccine and most recently COVID-19 surveillance. Employing LHS principles has meant engaging front-line workers, clinical managers and national stakeholders throughout. Our experience suggests LHS can be developed in low and middle-income countries that efficiently enable contextually appropriate research and contribute to strengthening of health services and research systems.</AbstractText>
                <CopyrightInformation>© Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY. Published by BMJ.</CopyrightInformation>
            </Abstract>",1,2021-04-20 00:00:00
152845,34528865,10.1080/07391102.2021.1972841,Journal of biomolecular structure & dynamics,England,Rutaretin1'-(6″-sinapoylglucoside): promising inhibitor of COVID 19 m catalytic dyad from the leaves of  miq (Pittosporaceae).,"Riyas Chakkinga Thodi, Junaida M Ibrahim, Vivek Arinchedathu Surendran, Achuthsankar S Nair, Swapna Thacheril Sukumaran","<Abstract><AbstractText>SARS CoV2 is a novel strain of coronavirus, first reported in Wuhan of China, in 2019 and drugs specific to COVID-19 treatment are still lacking. The main protease (3CL) present in the new coronavirus strain is considered a potential drug target due to its role in viral replications. The plant <i>Pittosporum dasycaulon</i> Miq. is a medicinal plant reported to have prominent antimicrobial including antibacterial and antifungal activity. In this study, 12 natural compounds were selected on the basis of major peaks observed in the LC-HRMS analysis of <i>P. dasycaulon</i> aqueous leaves extract (AQLE). The pharmacological properties of the selected compounds against 3CLpro were investigated through <i>in silico</i> studies along with the standard antiviral drugs Lopinavir and Nelfinavir. The molecular docking study was done using Autodock 4.2 tool and visualized using Pymol (1.7.4.5 Edu). The docking analysis revealed that three compounds showed a better binding affinity than the standard drug Lopinavir. To validate the docking interactions, behaviour and stability of protein- ligand complex, molecular dynamics (100 ns) simulations were performed with the four best-ranked bioactive compounds identified through molecular docking analysis namely; Leptinidine, Rutaretin1'-(6″-sinapoylglucoside), Kalambroside A, and 5,7-dimethoxy', 4'methylenedioxyflavanone. The stability of the docking conformation was studied in depth by calculating the binding free energy using MM-PBSA method. Our findings on molecular docking, MD simulations and binding energy calculations suggest that Rutaretin1'-(6''-sinapoylglucoside) could be a potential inhibitor of COVID-19 3CLpro. However, considering the current pandemic situation of COVID-19, further research is required to experimentally validate their potential medicinal use against COVID-19 3CLpro both in vitro and in vivo along with clinical practices. Communicated by Ramaswamy H. Sarma.</AbstractText></Abstract>",0,2021-09-16 00:00:00
89802,32553433,10.1016/j.schres.2020.06.005,Schizophrenia research,Netherlands,Unmask the mind! Importance of video consultations in psychiatry during COVID-19 pandemic.,"Jagadisha Thirthalli, Narayana Manjunatha, Suresh Bada Math","<?xml version=""1.0""?>
<p/>
",7,2021-01-10 00:00:00
111707,32429121,10.3390/jcm9051492,Journal of clinical medicine,Switzerland,"Forecasting COVID-19-Associated Hospitalizations under Different Levels of Social Distancing in Lombardy and Emilia-Romagna, Northern Italy: Results from an Extended SEIR Compartmental Model.","Chiara Reno, Jacopo Lenzi, Antonio Navarra, Eleonora Barelli, Davide Gori, Alessandro Lanza, Riccardo Valentini, Biao Tang, Maria Pia Fantini","<Abstract>
                <AbstractText>The outbreak of coronavirus disease 2019 (COVID-19) was identified in Wuhan, China, in December 2019. As of 17 April 2020, more than 2 million cases of COVID-19 have been reported worldwide. Northern Italy is one of the world's centers of active coronavirus cases. In this study, we predicted the spread of COVID-19 and its burden on hospital care under different conditions of social distancing in Lombardy and Emilia-Romagna, the two regions of Italy most affected by the epidemic. To do this, we used a Susceptible-Exposed-Infectious-Recovered (SEIR) deterministic model, which encompasses compartments relevant to public health interventions such as quarantine. A new compartment L was added to the model for isolated infected population, i.e., individuals tested positives that do not need hospital care. We found that in Lombardy restrictive containment measures should be prolonged at least until early July to avoid a resurgence of hospitalizations; on the other hand, in Emilia-Romagna the number of hospitalized cases could be kept under a reasonable amount with a higher contact rate. Our results suggest that territory-specific forecasts under different scenarios are crucial to enhance or take new containment measures during the epidemic.</AbstractText>
            </Abstract>",10,2020-09-28 00:00:00
20324,33520081,10.1016/j.waojou.2021.100510,The World Allergy Organization journal,United States,Psychological impact of the COVID-19 pandemic on patients with allergic diseases.,"Sandra Nora Gonzalez-Diaz, Bryan Martin, Rosalaura Virginia Villarreal-Gonzalez, Cindy Elizabeth de Lira-Quezada, Carlos Macouzet-Sanchez, Alejandra Macias-Weinmann, Rosa Ivett Guzman-Avilan, Mariano Garcia-Campa, Andres Noyola-Perez, David Uriel Garcia-Gonzalez","<Abstract>
                <AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">On March 2020, World Health Organization (WHO) declared COVID-19 to be a pandemic disease. Interactions between allergy-related inflammatory and psychiatric disorders including depression, anxiety, and post-traumatic stress disorder (PTSD) have been documented. Therefore, those who have pre-existing allergic conditions may have an increased psychiatric reaction to the stresses of the COVID-19 pandemic.</AbstractText>
                <AbstractText Label=""Objective"" NlmCategory=""UNASSIGNED"">Identify the psychological impact of COVID-19 in patients with allergic diseases and determine if these individuals have a greater risk of presenting with post-traumatic stress disorder (PTSD).</AbstractText>
                <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">It is a cross-sectional, survey-based study designed to assess the degree of symptoms of depression and the risk of PTSD using the Patient Health Questionnaire (PHQ-9) and the Impact of Event Scale-Revised (IES-R), respectively, in allergic patients.</AbstractText>
                <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">A total of 4106 surveys were evaluated; 1656 (40.3%) were patients with allergic disease, and 2450 (59.7%) were non-allergic (control) individuals. Of those with allergies, 76.6% had respiratory allergic disease including asthma and allergic rhinitis. Individuals with allergic disease reported higher scores regarding symptoms of PTSD on the IES-R scale (p = 0.052, OR 1.24 CI 0.99-1.55) as well as a higher depression risk score in the PHQ-9 questionnaire (mean 6.82 vs. 5.28) p = 0.000 z = -8.76.The allergy group presented a higher score in the IES-R questionnaire (mean 25.42 vs. 20.59), being more susceptible to presenting PTSD (p = 0.000, z = -7.774).The individuals with allergic conditions were further divided into subgroups of those with respiratory allergies such as allergic rhinitis and asthma vs those with non-respiratory allergies such as drug and food allergy, urticaria and atopic dermatitis. This subgroup analysis compares respiratory versus non-respiratory allergic patients, with similar results on the IES-R (mean 25.87 vs 23.9) p = 0.0124, z = -1.539. There was no significant difference on intrusion (p = 0.061, z = -1.873) and avoidance (p = 0.767, z = -0.297), but in the hyperarousal subscale, patients with respiratory allergy had higher scores (mean 1.15 vs. 0.99) p = 0.013 z = -2.486.</AbstractText>
                <AbstractText Label=""Conclusions"" NlmCategory=""UNASSIGNED"">Psychological consequences such as depression and reported PTSD are present during the COVID-19 pandemic causing an impact particularly in individuals with allergic diseases. If we acknowledge the impact and how it is affecting our patients, we are able to implement interventions, follow up, and contribute to their overall well-being.</AbstractText>
                <CopyrightInformation>© 2021 The Authors.</CopyrightInformation>
            </Abstract>",2,2021-04-06 00:00:00
87573,32419167,10.1111/jan.14418,Journal of advanced nursing,England,The true worth of a nurse … time to act!,Ged Williams,"<?xml version=""1.0""?>
<p/>
",0,2020-12-16 00:00:00
81113,32650121,10.1016/j.msard.2020.102372,Multiple sclerosis and related disorders,Netherlands,Frequency and severity of COVID-19 in multiple sclerosis: A short single-site report from northern Italy.,"Francesco Crescenzo, Damiano Marastoni, Chiara Bovo, Massimiliano Calabrese","<Abstract>
                <AbstractText>Neurologists are interested in understanding whether patients with multiple sclerosis (pwMS) undergoing immunomodulatory/immunosuppressive therapy are more susceptible to developing COVID-19 or have worse outcomes. Currently, there are no conclusive data in this regard. We report the prevalence and severity of COVID-19 (confirmed and possible) in pwMS followed at the Veneto Regional MS Center in Verona (Italy), an area most stricken by COVID-19. In our sample size, the prevalence of COVID-19 seems to be much higher than that officially reported at the regional level on the general population, but it also characterized by a favourable course.</AbstractText>
                <CopyrightInformation>Copyright © 2020 Elsevier B.V. All rights reserved.</CopyrightInformation>
            </Abstract>",15,2021-01-10 00:00:00
120967,32702940,10.5114/ait.2020.96560,Anaesthesiology intensive therapy,Poland,Consensus of the Study Group for Point-of-Care Lung Ultrasound in the intensive care management of COVID-19 patients.,"Natalia Buda, Paweł Andruszkiewicz, Mirosław Czuczwar, Wojciech Gola, Wojciech Kosiak, Piotr Nowakowski, Krystian Sporysz","<Abstract>
                <AbstractText>Respiratory failure is a dominating medical issue in the severe course of COVID-19. Both at the stage of diagnostics prior to admission to the intensive care unit and during the monitoring of lesion evolution, diagnostic imaging techniques may significantly influence clinical decisions. Although computed tomography remains the gold standard for diagnosing lung diseases, its usefulness for infected, critically ill patients has been largely limited during the pandemic. Reports from those countries in which the healthcare systems were most seriously overloaded with patients with COVID-19-induced pneumonia stress the key role of point-of-care lung ultrasound performed by clinicians first during preliminary diagnostics and then while monitoring disease dynamics. This consensus, worked out by an interdisciplinary team of specialists forming the Study Group for Point-of-Care Lung Ultrasound in the Intensive Care Management of COVID-19 Patients, presents a broad spectrum of aspects regarding the analysed issue. Its concise form is meant to serve clinicians who perform ultrasound as a straightforward and informative guide.</AbstractText>
            </Abstract>",1,2020-12-18 00:00:00
14092,33791705,10.1101/2021.03.15.435423,bioRxiv : the preprint server for biology,United States,Network medicine links SARS-CoV-2/COVID-19 infection to brain microvascular injury and neuroinflammation in dementia-like cognitive impairment.,"Yadi Zhou, Jielin Xu, Yuan Hou, James B Leverenz, Asha Kallianpur, Reena Mehra, Yunlong Liu, Haiyuan Yu, Andrew A Pieper, Lara Jehi, Feixiong Cheng","<Abstract>
                <AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">Dementia-like cognitive impairment is an increasingly reported complication of SARS-CoV-2 infection. However, the underlying mechanisms responsible for this complication remain unclear. A better understanding of causative processes by which COVID-19 may lead to cognitive impairment is essential for developing preventive interventions.</AbstractText>
                <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">In this study, we conducted a network-based, multimodal genomics comparison of COVID-19 and neurologic complications. We constructed the SARS-CoV-2 virus-host interactome from protein-protein interaction assay and CRISPR-Cas9 based genetic assay results, and compared network-based relationships therein with those of known neurological manifestations using network proximity measures. We also investigated the transcriptomic profiles (including single-cell/nuclei RNA-sequencing) of Alzheimer's disease (AD) marker genes from patients infected with COVID-19, as well as the prevalence of SARS-CoV-2 entry factors in the brains of AD patients not infected with SARS-CoV-2.</AbstractText>
                <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">We found significant network-based relationships between COVID-19 and neuroinflammation and brain microvascular injury pathways and processes which are implicated in AD. We also detected aberrant expression of AD biomarkers in the cerebrospinal fluid and blood of patients with COVID-19. While transcriptomic analyses showed relatively low expression of SARS-CoV-2 entry factors in human brain, neuroinflammatory changes were pronounced. In addition, single-nucleus transcriptomic analyses showed that expression of SARS-CoV-2 host factors ( <i>BSG</i> and <i>FURIN</i> ) and antiviral defense genes ( <i>LY6E</i> , <i>IFITM2</i> , <i>IFITM3</i> , and <i>IFNAR1</i> ) was significantly elevated in brain endothelial cells of AD patients and healthy controls relative to neurons and other cell types, suggesting a possible role for brain microvascular injury in COVID-19-mediated cognitive impairment. Notably, individuals with the AD risk allele <i>APOE</i> E4/E4 displayed reduced levels of antiviral defense genes compared to <i>APOE</i> E3/E3 individuals.</AbstractText>
                <AbstractText Label=""Conclusion"" NlmCategory=""UNASSIGNED"">Our results suggest significant mechanistic overlap between AD and COVID-19, strongly centered on neuroinflammation and microvascular injury. These results help improve our understanding of COVID-19-associated neurological manifestations and provide guidance for future development of preventive or treatment interventions.</AbstractText>
            </Abstract>",0,2021-05-11 00:00:00
141143,34014686,10.1037/adb0000748,Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,United States,Effect of COVID-19 disruptions on young adults' affect and substance use in daily life.,"Lauren M Papp, Chrystyna D Kouros","<Abstract><AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">Guided by accounts of <i>adjustment in daily life</i> as a key indicator of health, the current study examined prospective changes in young adults' emotions and substance behaviors assessed during a normative baseline period and during the acute COVID-19 disruption period in late March/early April 2020. The COVID-19 assessment also collected psychosocial risk factors expected to moderate changes in adjustment across time.</AbstractText><AbstractText Label=""METHOD"" NlmCategory=""METHODS"">Participants included 295 young adults (70.8% female; ages 18-21 at baseline), drawn from an ongoing study of daily behaviors and health in college life that oversampled for recent substance behaviors, who completed both the baseline and COVID-19 assessments. Hypotheses were tested using analyses of repeated-measures data that included covariates of length of time between assessments and sampling group status.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Direct tests in support of hypotheses indicated an increase in negative affect (<i>d</i> = .67, <i>p</i> &lt; .001), and greater alcohol use (<i>d</i> = .75, <i>p</i> &lt; .001) and marijuana use (<i>d</i> = .58, <i>p</i> &lt; .001), in daily life across time. Levels of positive affect (<i>d</i> = .08, <i>p</i> &gt; .05), nicotine use (<i>d</i> = .01, <i>p</i> &gt; .05), and prescription drug misuse (<i>d</i> = .003, <i>p</i> &gt; .05) did not reliably change in tests of direct models. Moderation tests indicated several risk factors for experiencing steeper increases in negative affect, and increased likelihood of marijuana and nicotine use, in daily life across time.</AbstractText><AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Findings offer implications for future research and clinical efforts to improve young adult adjustment in response to the pandemic. (PsycInfo Database Record (c) 2021 APA, all rights reserved).</AbstractText></Abstract>",0,2021-06-15 00:00:00
4992,33848293,10.1371/journal.pone.0249069,PloS one,United States,Low risk of SARS-CoV-2 in blood transfusion.,"Michael Owusu, Augustina Angelina Sylverken, Philip El-Duah, Nana Kwame Ayisi-Boateng, Richmond Yeboah, Eric Adu, Jesse Asamoah, Michael Frimpong, Japhet Senyo, Godfred Acheampong, Mohamed Mutocheluh, John Amuasi, Ellis Owusu-Dabo, Yaw Adu-Sarkodie, Richard Odame Phillips","<Abstract>
                <AbstractText Label=""BACKGROUND"">The novel coronavirus disease (COVID-19) pandemic, caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), continues to remain a global challenge. There is emerging evidence of SARS-CoV-2 virus found in the blood of patients from China and some developed countries. However, there is inadequate data reported in Ghana and other parts of Africa, where blood transfusion service heavily relies on voluntary and replacement blood donors. This study aimed to investigate whether plasma of infected individuals could pose significant transfusion transmitted risk of COVID-19 in Ghanaian populations.</AbstractText>
                <AbstractText Label=""METHODS"">This cross-sectional retrospective study was conducted at the Kumasi Centre for Collaborative Research into Tropical Medicine (KCCR), KNUST, Ghana. Study subjects comprised contacts of COVID-19 individuals, those with classical symptoms of COVID-19 and individuals who had recovered based on the new Ghana discharge criteria. Whole blood, sputum or deep coughed saliva samples were collected and transported to KCCR for SARS-CoV-2 testing. Viral nucleic acid was extracted from sputum/nasopharyngeal samples using Da An Gene column based kit and from plasma using LBP nucleic acid extraction kit. Real-Time PCR was performed specifically targeting the ORF1ab and Nucleocapsid (N) genomic regions of the virus.</AbstractText>
                <AbstractText Label=""RESULTS"">A total of 97 individuals were recruited into the study, with more than half being males (58; 59.7%). The mean age of all subjects was 33 years (SD = 7.7) with minimum being 22 years and maximum 56 years. Majority (76; 78.4%) of all the subjects were asymptomatic, and among the few symptomatic subjects, cough (10; 10.3%) was the most predominant symptom. Of the 97 sputum samples tested, 79 (81.4%) were positive for SARS-CoV-2. We identified SARS-CoV-2 viral RNA in the plasma of 1 (1.03%) subject who had clinically recovered.</AbstractText>
                <AbstractText Label=""CONCLUSION"">This study reports the identification of SARS-CoV-2 viral RNA in a convalescent individual in Ghana. Due to the low prevalence observed and the marginal cycling thresholds associated, the risk of transfusion transmission of SARS-CoV-2 is negligible. Well-powered studies and advanced diagnostics to determine infectious viremia is recommended to further evaluate the potential risk of hematogenous transmission among recovered patients.</AbstractText>
            </Abstract>",0,2021-04-21 00:00:00
