content,score,date,word_count
"I can not log in to the app or website! I have no trust in them because years ago, someone made a purchase with my account, and I did not receive payment notification from ebay.de! They should notify me . Its definitely a bug in the system of PayPal. I lost my trust in they and after I succed to log in or Kontakt them ( because it's 13:00 and I called in, and the robot told me I am calling outside working hours??? Wt h ??? ) I definitely delete my account there !",1,2024-11-21 21:31:42,95
"I want help logging in PLEASE! This app is bugged and everytime I press I forgot password, I only getting redirected to login page without being properly resetting the password. I want help and there's no one to contact!!!!!!!! When I enter my current password, it says we are unable to process the request. This is unfair, now I can't even login.",1,2024-11-21 21:28:11,62
"I can't even log in.....My information I put in was correct to my online account but it keeps rejecting me, or telling me it can't log in at the time. Not only that I can't stand the captcha security...I get it's for safety but it's very strange and what I tap on keeps disappearing. LOG IN IS NOW BROKEN FROM LAST UPDATE!!!!",1,2024-11-21 21:27:18,62
"Problems problems problems problems problems problems problems problems problems problems more problems I just want to pay my bills but problems every other day then another problem then another week more problems just get a normal bank or buy prepaid cards with real money to pay your online stuff don't ""bank"" with this problem company just problems everyday",1,2024-11-21 21:16:07,58
Why is the app not working I want my money how long do I have to wait for the app to start working when will I have access to my money how will I be compensated for not being able to access my money when I'm supposed to I don't know if you're a reliable source to be holding money because as of right now your apps not working and you guys have my money I can't get to work I can't eat I can't do anything because you guys have all my money thanks for the inconvenience,1,2024-11-21 21:16:01,98
"Genuinely so annoying. I logged in fine with finger print and password, but recently, it tells me ""log in with a passkey"" — and I never had any other devices to do so. It's super safe, sure, but it makes it so difficult if anything happens. Not to mention, I tried the forgot password thing and it does not send me to a security check page. It simply sends me back to the login page without anything.",1,2024-11-21 21:15:32,77
Something is wrong with app won't let me sync my account or even let me sign in. Won't let me change password or anything. Something is really wrong with your app. I need access to my account and money. Tried contacting won't even let me. Did PayPal get hacked should we all be worried for identy fraud.,1,2024-11-21 21:08:43,57
"I am really angry right now. I just sent over $2 to my PayPal. And I was trying to open up the app. And it's making me sign in again and now my password wont-work. It's the same password. Haven't given it to anyone and it constantly says that I'm wrong. I hope that you all can fix this cause. I do not want to make a new account and I want my money back. If you do not fix this, I will be suing you.",1,2024-11-21 20:54:00,86
"this system rejected by Ebay a few years ago. and it goes worther each month. lugs every week with sending funds, payments, connected cards, carrencies etc . if you have alternatives - run away. guys , DO NOT use paypal ,if you have choice - now they become a crooks. when you send funds , you'll NEVER now how many much your opponent will recieve. i used it about 12 years , but now it's total scam. so, today it become horrible - now Paypal do NOT allow me to reach my Account.",1,2024-11-21 20:43:12,93
"""Wir können ihre Identität nicht bestätigen"" Weit entfernt von dem was es einmal war. Dermaßen unzuverlässig und uneinsichtig. Ueber mehrere Monate hinweg habe ich Probleme beim Einloggen, immer wieder kommt die Fehlermeldung die oben genannt ist. Einzige Lösung ist dann den Kundenservice anzurufen. Bei dem mal erstmal diese Maschinenfragen beantworten muss, bevor man jemanden spricht. Das kam jetzt wieder mal und diesmal wollte PayPal eine 8 Jahre alte Handynummer nutzen :D Peinlich",1,2024-11-21 19:10:20,72
"Why does PayPal Always give me Signing back in ISSUES? I have about 5 or 6 PayPal Account's because of this problem.. It is Very,Very Frustrating. Is it only Me and My Hacking problems or is this a common issue of PayPal??",1,2024-11-21 18:49:52,42
"It won't let me add a new card, it won't let me use my current card, I've had so many issues with this app, and honestly venmo and cashapp are significantly better, I wish I could give it less than 1 star. this app is basically trash.",1,2024-11-21 14:11:01,47
Paypal sucks. When you lock your card you still get your money stolen and when you dispute it or try to get your money back for something you didn't even have. They pretty much tell you to screw off because they don't want to refund the money stole by them. Everyones best bet is to use something else unless you like having your money stolen from your account...paypal is a poor excuse for a company...,1,2024-11-21 13:54:04,75
The worst app ever you always gotta verify your phone number for no reason I don't know why I can't just upgrade it and stop being little b word you don't know what I mean I'll always gotta verify this It works up ever I never want to do anything with this app,1,2024-11-21 08:43:55,53
What an absolute nightmare of a App. I had a time sensitive money transfer to make and this app made it absolutely excruciating. I wasn't able to even make the money transfer. I'm in awe of how terribly clunky and frustrating thus app is. I will be using literally ANYTHING else to send money.,1,2024-11-21 07:21:58,54
"I'd love to give this a -0 stars because I keep my profile safe as well as my phone, so I don't wish to be kicked out of PayPal then to be asked to keep giving u my info everytime I go on it's a joke of a app also I can't get my money out an in to my bank so I need to speak to a human not a app bot",1,2024-11-21 07:15:43,73
"You guys are scamming us money, I was just adding my MasterCard as a payment method and you just took money from my card and give me the no internet error message, while you've taken money from my card. I WANT MY MONEY BACK ASAP",1,2024-11-21 01:49:17,45
"Can't get past the security check ""are you a robot"" thing when trying to log in on my new phone. It just keeps making me do it over and over again and won't log me in. Didn't have this issue on my old phone.",1,2024-11-21 00:54:43,44
"The app makes it very hard to deposit the balance to your bank account. It used to be easy with a single click, but now they are hiding the function to make you spend the balance elsewhere (e.g., shopping on the app, use its saving,...). This is a disgusting move.",1,2024-11-21 00:40:11,50
I haven't been able to log in now for almost a month. Every time I open the app I get the same message it's a banner at the top of the screen that says no internet connection only problem is I have an internet connection. I'm at a loss don't know what to do.,1,2024-11-21 00:37:26,54
"PayPal is broken! After having an account with them for over 25 years I may finally have to cut the cord due to their lack of properly trained customer service ability to escalate my issues to the correct IT department personel for a resolution! Have used Pay in 4 for some time and loved that freedom. Recently got approved for a $2K line of credit that seemed to have broke something, (and their customer service gives me every ""tool"" I'm their playbook from removing cookies and clearing my cache",1,2024-11-21 00:25:30,89
"The most frustrating app ever!😑 You can never passed the ""are you robot"" question! I've been trying logging for a whole 15 minutes and I had to give up on it at the end! I can never use the app or login to my account! They have to find some other way to verify people and change this tedious and frustrating way! 😤",1,2024-11-20 22:22:47,63
"Stuck in an endless capcha loop when trying to login. After doing a quick Google search, this issue has apparently been around for years. It's a shame that they never fixed it. I would think that it's important for them that people could access their app.",1,2024-11-20 20:34:19,46
"Honestly, hate paypal so much with a passion. I've spent hours trying to figure out why there's this stupid ""paypal fee"" charging me everytime I'm sending money to my mums paypal. And found that it was an ""international"" fee being charged. Read up further into it and found that it's only supposed to be 4% subtracted from the money that I'm sending. Great right?? Nope. Because tell me why I was charged 75 DOLLARS!! For a transaction of 725NZD. I'm absolutely APPALLED. This is horrible.",1,2024-11-20 15:35:31,85
"Been using PayPal for many years, browser is flawless. Please have a check at be the image verification, been stuck on a loop forever. App uninstalled cause it useless to me, unless it's fixed. Will also change reviews to 5 once this is fixed, GOD Bless 🙏",1,2024-11-20 09:41:56,47
I can not log into my account on the app it is just looping the are you a robot/am I a human question and I can't get past it is there a fix for this. I reset the the cache and un-installed and reinstalled. Frustrating and it's basically useless to have the app,1,2024-11-20 08:53:31,53
"This app is a joke! Because of your app and not being able to process a simple transaction, I've had 2 cards hotted and terminated in the span of an hour. I have to get 2 new cards! Warning to those who use PayPal, from my experience they will double charge you and make it near impossible to add new cards and removed old ones or update the address on current cards. I have to spend $+40 for 2 new cards! you company is costing me money and wasting my time.",1,2024-11-20 07:10:04,91
Very bad app and system I just sell my USDT currently true trust wallet and move the money to paypal account it was only 300 euro after few hour my account got banned . What a waste Can't trust this app they will lock your money for no reason and no response back,1,2024-11-20 06:46:36,53
"I haven't used the app in a while, and when I come back to it, I can't even log on all it did was repeat the I am not a robot at first it was going from, I'm not a robot check box one that says I am human put after uninstall and reinstall, it just did the I am not a robot death loop",1,2024-11-20 02:50:36,65
"Will not connect with Simplii bank account at all. Yondlee refuses the bank login credentials, and app times out when verifying bank account transit details. Very bad UX - Why is copy paste disabled inside the app for entering login credentials into Yondlee? Let me use my password manager. - Doesn't auto detect 2fa code in clipboard when logging into PayPal app. - Entering bank account numbers should default to NUMBER keypad entry, not regular alphabetical keyboard",1,2024-11-20 02:23:22,77
I have had PayPal for a cool minute maybe some years and my experience has been good til now.... All of a sudden I can't get into my account and that never has happened ever so idk what the problem is but somebody needs to fix that before it be a bigger issue than what it is.,1,2024-11-20 02:07:54,57
"Scammers are everywhere but Paypal allows them to take full advantage of people and take no responsibility at all as mediators. In my case the buyer posted the funds, I took pics of the product, paid and posted the shipping info to the platform. They allowed the buyer (scammer) to cancel the payment after receiving the shipment which leaves me out of a product and shipping cost. Paypal basically told me to contact the buyer ( scammer) and beg for my money/product back. Worst experience ever!",1,2024-11-20 01:58:15,86
"Worst. App. Ever. I couldn't transfer money to my account and was even told I needed to ""verify"" but there weren't options to do so, nor could I find where to even start. The help chat was awful and sent me in loops. I had to call customer service THREE times in one day just so I could transfer funds to a friend. Only to be told three different things and lied to. Then, the funds didn't even get transferred!! They sent it as a business instead of family/friends!! 10/10 DO NOT recommend.",1,2024-11-20 01:38:00,93
"What's with the security challenges? I've been doing captchas for 10 minutes! It's useless this way! I am installing the app and getting captcha after captcha. I uninstalled and reinstalled and it is still doing it. I've probably.solved 20 of them at this point and it just keeps asking me if I am a human or not a bot, then loading more images.",1,2024-11-20 01:08:06,63
"Allows you to buy crypto that you can't do anything with. Can't verify your identity even though you've used PayPal for over a decade and when trying to send Bitcoin on PayPal upon selecting the crypto you want to send it reloads the crypto selection screen. 50 cent fee on purchase of $1 Bitcoin, 50 cent fee on selling it. Enjoy your free $1 scam artists.",1,2024-11-19 18:52:51,66
"Terrible Ive had paypal for years often buggy website and apps, often have my account frozen for no good reason, can get money but not send that same person money back. Xoom works 50% of the time and now I cant even login to my account and they saw me get charged 11 times for same charge and gave me merchant number that was not correct and would do nothing about it. Yup it keeps making me prove Im not a robot to login and Ive done it 20 times now I cant even access my own account! Im done",1,2024-11-19 18:44:02,100
"What is wrong with you people how can it be said that you have dound something that is not allowing me to use paypal and not give me a valid reason, this is insane and please explain to me what is happening",1,2024-11-19 18:04:25,42
I sent $1400 to my uncle. He got the money He withdraw $200 successfully He was trying to remove another and PayPal denied him saying the funds have been locked . Says he have to wait 180 days I just want to know if the fund will be opened again,2,2024-11-19 17:55:53,50
I download this app but I have never been able to actually open the app because it keeps repeating the verify human security check even tho I've passed the picture testing keeps making me do it over n over! It's absolutely the most ignorant and frustrating thing I've ever experienced with a app! If anyone has any suggestions how to solve this issues would be appreciated,2,2024-11-19 17:37:53,66
I'm not even going to give a review ice been trying to link my bank account for a long time and I can't. I don't have a US bank account meaning I can't link my bank account My Bank card is linked but still nothing.... I want to withdraw my money then maybe just permanently close the account cause I can't struggle like this,1,2024-11-19 16:44:34,64
"After logging in, and completing security check and verifying ""I am human"" the security check starts again. And is in a perpetual state of completing the security check and verifying I am human. I can get no further!! Cleared cache and data, uninstall and reinstall and same issue. Log in credentials, security check completed, verify I am human, then it goes back to doing security check over & over & over & over!!!! ZERO STARS IF I COULD!",1,2024-11-19 16:21:33,78
"Be careful. PayPal now wants you to send a photo of your driver's license and a picture of your face for verification to use this service. They restricted everyone's account until we would do these things. I had been using them for years without any issue. Now, unless I comply with these demands, I can't use the service and I also can't delete my PayPal account. My bank account information is still on the site, and I won't be able to remove it. So it will be held against my will. DO NOT USE!!!",1,2024-11-19 11:48:51,94
"Basically stole my money by locking my account. Even they're representatives can't unlock it because its an automated system so now I cant use my PayPal debit while I'm on a trip and it was one of my only ways of paying for things. Customer service did nothing. Randomly works sometimes and blocks me others, no consistency and basically holding my money hostage even after providing my PASSPORT AND SCANNING MY FACE. What's the point in providing such sensitive documents to this company then?",1,2024-11-19 10:26:36,84
"I've been dealing with a constant loop of ""Are you a human, are you a robot"" for the past 24 hours. All were done correctly, but the app won't let me get passed the robot issue. Waste of time. Don't download it.",1,2024-11-19 09:24:33,42
"It’s unfortunate because PayPal is one of the most widely accepted payment methods globally, and not having full access puts a lot of Nigerians at a disadvantage. People often end up looking for alternatives like Payoneer, Wise, or even creating business accounts through other countries (which comes with its own risks and complexities). If only PayPal could understand how many potential users they're missing out on here. Maybe we need a massive petition.",1,2024-11-19 04:55:10,73
I had used this app for years until this last year. I kept getting $200 to $300 USD excort charges in different countries. I had to close the use of my debit card and get a new one 3 or 4 times. It's inconvenient and frustrating!! Then my bank looked farther and figured out it was coming from the use of my PayPal account. I haven't used it since. I won't use it again!!! 😡,1,2024-11-19 02:45:35,75
"I just installed PayPal, and I have been having so much trouble signing in. It made me change my password, and that was ok. Then I tried to add a phone number, and it said invalid. Check your information. I shouldn't have to check information, I know my own number. Also, I can not get past the I'M NOT A ROBOT thing. This is ridiculous! I do understand the security thing, but come on! I'm about to unstall PayPal. 😡",1,2024-11-19 00:18:32,80
"I've been downloading this apps for so many times, my deepdown experience for this company is so strict to it's new customer, not a friendly one...capcha, why don't you accept my current Gmail...it's the only one been using it for so many years ...and the time when you sign up is so short ...you need to open your message to be able to see the OTP when you get back ..it's time over ...what a waste of data and load ...I give you zero if it's in the rating...better I give you one...LOL",1,2024-11-19 00:04:24,93
"Double charged and paypal doesn't want to take accountability I used the app for years, recently bought a early xmas gift for my gf, I was double charged the second transaction doesn't show up on paypal even tho its on my bank statement and says paypal. I got the app to protect myself but Ironically I end up getting scam by paypal lol aw well lesson learned uninstalling and deleting account",1,2024-11-18 19:07:06,71
"It's quite frustrating at the moment trying to go past the security challenge questions I'm being asked. Each time I identify images or listen to the voices played, it keeps asking me to identify that I'm not a robot again and again. I need help.",1,2024-11-18 18:42:20,45
DO NOT USE PAYPAL. NOT SECURE. JUST A GATEWAY TO TAKE YOUR MONEY WITHOUT YOUR CONSENT FOR MULTIPLE WEBSITES N COMPANIES. NOT HELPING AFTERWARD. NOT REFUNDING ANY MONEY AT ALL. DON'T MAKE A PAYMENT THROUGH PAYPAL. FAKE SECURITY. JUST ANOTHER FROUD .,1,2024-11-18 17:59:32,42
"have been trying to login without success. forever stuck at the robot verification ! I have decided to try downloading again to see if it works fine now after uninstalling it for a few weeks and it's still the same! please do something about that, it's really frustrating",1,2024-11-18 16:07:35,48
I've earned money online for abt 3 years now. And frequently use paypal. After I reach $715 USD mark paypal limit my account PERMENANTLY without explaining any reasons for the ban. I DON'T RECOMMEND using Paypal. Just heartless. Now they held my money for 180 days what is that 4 months??? when I urgently needed money. This guys are sick heartless people. Just pure evil imo.,1,2024-11-18 13:30:50,66
I have a paypal account but havent been on it awhile and when i try to get back on i cant get pass the security check and the questions am I a robot and I am human. I am thinking about just deleting the app cause it is not worth having if i can't use it.,1,2024-11-18 10:07:35,56
So I go to use my PayPal card and it gets denied and the store calls the cops because on the store screen it says fraud alert. Good come I prove it's my card I call PayPal and they say it was because the store was trying to charge more. Yeah right. Major lawsuit.,1,2024-11-18 07:41:35,54
"Not very reliable, spotty service at best. Takes up to 3 business days depending on funds. Will be taking REAL business elsewhere!!! Update: 11/17/24 No longer able to log in to my account. Absolute waste of space on device! 0 stars",1,2024-11-18 05:30:15,41
"When I tried to log in, the app kept telling me to give my it permission to use my camera so that it could scan my ID. I gave it permission, but it did not work. I tried everything, including restarting the app. Nothing worked.",1,2024-11-18 05:11:39,45
"This app stole $115.19 from me when I had a payment voided. They keep telling me ""It was sent back to you"" but it wasn't. I wouldn't be calling if it was. Don't use this app, their customer service team is all from out of country and they clearly can't help you.",1,2024-11-18 04:58:33,52
"Terrible, I couldn't transfer the money to my bank account, I lost 100Reais from an art commission I did, I try to contact the support, but even the support sucks. I don't recommend. And I am still waiting to get response so I can get my money properly",1,2024-11-18 03:48:47,48
"I had some money transferred to my PayPal account. It went into another account. I have sent everything they request to prove that it belonged to me. Now they want the other app to contact them, but they wont. They tell me they have no way of contacting Paypal. So, I say Paypal stole my money",1,2024-11-18 02:59:28,56
"Surely am not happy with this , I tried to log in every time but I can't see my PayPal balance, They don't show me my balance and even when i tap in wallet i can't find that word of balance. Really i don't know what's going on",1,2024-11-18 00:18:26,48
"EI cannot log on. I put in my email and password like you're supposed to, t hen I'm taken to the captcha screen. I do the captcha and it brings me right back to the input password screen. I put my password in again , get to the captcha screen again , and it just keeps happening over and over. On both my Samsung tablet and Samsung phone. This needs to be fixed immediately!",1,2024-11-17 22:47:22,74
You know i tried it out finally worst nightmare ever! First you have to give ssn personal info and liink bank account for identification. Discovered that at the store when i tried to add cash and was denied! I wish i didnt enter any of that and decided to opt out and close the account. Well i couldnt unless i verified i was who started to open it! Hours of my life wasted. I mean a prepaid credit card is 5bucls and does the same they offer. And no verification or hoops to jump through! .,1,2024-11-17 17:01:09,96
"The most DISGUSTING app I've ever used, locks me to U.S. and asks for state, I'm not even living in the US so my business account is impossible to complete. Then asks for completion of account details to even close my account, which is not possible rn, such a disgust.",1,2024-11-17 14:25:13,50
"Never got my card and when I call I never reach anyone. The last two cards I did not order. One was snag the other I guess returned. I highly suspected identity theft. PayPal refused to help me. Get this she said no fraud department . I said lady that is not true. I love foreign people but this same lady said can't help me cause the emails the thief used I had no idea,so she could not help me. Now if someone would help me. I TAMMY WOOD HAS NOT USED ,ORDER,OR RECEIVED MONEY FROM PAYPAL CARDS.",1,2024-11-17 07:57:02,98
"This is the only app I will not have on my phone. I constantly get emails saying that someone has used my email through PayPal, buying something and paying for something and PayPal says it's not true. When I want to use the app, use it to buy something they deny me.. uses to charge something deny me. Forget a password they make me wait and call customer service. So I can't use my own app but other people can. Hate is a very strong word and I don't like to use it, but I will for this one.",1,2024-11-17 07:20:44,99
Still absolutely stuffed with ads and credit offers. It barely feels like a legitimate app anymore. It looks like a scam marketplace full of desperation to ruin your credit score. I'd stay away if you can. Transferring money out of the app has become more hidden over time too. Otherwise somewhat useful on certain sites as a payment processor.,2,2024-11-17 06:50:06,59
"The new mobile app is very bad. I was unable to easily transfer money to my bank account as the balance didn't give me any options except for setting up xoom. I had to use Google to search for an answer, which told me to use Wallet. I could not find wallet on any menus and had to use Help to direct me to the link. I will likely stop using this application if the interface doesn't change in the next two weeks which is when I will need to do a transfer again.",1,2024-11-17 05:08:23,94
fraudulent payment taken out of my account and the bots keep saying that they've completed their review refusing to provide documents or refund my money. they send a reminder to pay the bill despite having already paid several days prior. it used to be easy to add money from my bank. Now it is counterintuitive & deeply buried in the menus. definitely the worst financial instrument i've ever used & worst customer service. today got notified a payment failed FIVE days ago. interrupted 6x today,1,2024-11-17 04:32:04,85
"Always have problems with the app. First it was always telling me that my address is wrong then now its telling me that i need to update the app but it won't let me, because it is also saying i already have the newest one. Now it's not even letting me use the app because of that. So the only way I can use PayPal is by Facebook messenger, or the website. Horrible customer service. However Even though PayPal has all of these problems I still use it only because I Hate starting up a new account.",2,2024-11-17 04:05:31,97
Cant get anything right. Can't get anything done. Just try to be difficult. Is this a government program? Did they hire all the old DMV employees? Every time I try to do anything its red hot fiery cussing! I will avoid using PayPal at all cost in the future.,1,2024-11-17 01:20:46,49
"One star is too many. It takes my money without hesitation, but the second I try to take money out, ""your bank account doesn't exist!!"" Are you kidding me? This app is a dumpster fire just like everything Elon owns. If my bank account doesn't exist, why does this useless app have no problem taking money out of it?!???",1,2024-11-17 00:18:49,59
"For some reason my account is ""temporarily"" blocked. I'm trying to close my account but I can't because I have to confirm my identity but I can't because the block isn't allowing me to remove my old card and put my new one in. And I can't lie about what card I have because it was saying I need a ""code"" from my old one. So I can't close my account. I guess it's permanently an account which is messed up. Do better PayPal!!",1,2024-11-16 23:08:49,84
I've been trying to get help..I can't transfer my money to my debit card cause apparently my paypal account needs a few documents like a picture of my ID when I try to upload nothing happens. I also have money on hold. I understand my account is new hence I need help!!!,2,2024-11-16 22:39:18,52
"Why can't we Iranians use it? What sin have we committed that you don't let us use it? Why don't you put yourself in our place? You're not human? Why don't you understand us? Why are we deprived of everything in this world? You don't pay attention to others, why don't you put yourself in our place?😭😭😭😭😭😭😫😫😫😫😭",1,2024-11-16 21:57:36,57
"Have tried to register PayPal via website as well on it app, unfortunately FAILED at verifying my phone number on both platforms. Never ever happened this before with other apps. May I know the reason? Never mind, I have just registered WISE. ♥️",1,2024-11-16 20:05:26,43
"This is the best game of ""I am a human,"" ""I am a robot"" and pick to right images that I've ever played. There is seemingly no end to the levels. Oh, wait, this is supposed to be for financial transactions.",1,2024-11-16 15:21:25,41
"Terrible customer service. When claiming my money back from a scammers, they simply chose to protect the scammers even though I provided all the requested and corresponding documentation, I even had to pay to return the product and they still made it difficult as much as possible to give my money back which I haven't received yet. Never use this company, use your regular credit cards, they really protect you against these issues, and give your money back immediately.",1,2024-11-16 11:24:42,79
this is unbelievable. I have a PayPal account and I can't even download the app because it's incompatible with my phone how do I unlock my card I think the unlock feature is only available on the app.. this is ridiculous I'm outraged,2,2024-11-16 09:55:41,43
It was working fine suddenly the money was blocked from being sent to my bank card I am not the only one but all the people I know is this a joke I have money in my account I want to take my money suddenly the money was blocked from being sent to my bank card this is the worst service,1,2024-11-16 08:55:48,61
"I can tell it's a sin to have to pay that fee charge. Literally taking 5% of the payment I just sent for £60. If I can find another way, I will, but it's good to point out sin where it lurks, because otherwise the sin only grows",1,2024-11-16 04:03:36,48
"I just got a new phone, downloaded this app, been using this app, tried to login and security challenge won't let me in been sitting for bout 15,20 minutes here doing the ""I am human"" security challenges, what is going on??!!",1,2024-11-16 01:01:37,41
"What do you mean I am not eligible,your telling me that I can't use the app even in future and I followed everything it said , saying suspect activities why ,I provided everything and also my money is suspended for 190 days for what why never don't even recommend this up talking about making it safe .",1,2024-11-16 00:55:38,57
"Too damn much verification, got to verify every time I log on, verify to type a letter verify to go to the bathroom. Take a picture take a picture of or I.D. I can understand the security aspect of it all. But damn. That's too much security",1,2024-11-16 00:43:03,47
"PayPal has caused $600 to vanish and will not do anything to resolve it, which is likely going to end in a legal dispute. Yall probably want to avoid this app as much as possible until they can straighten their act",1,2024-11-15 21:03:51,41
"I had 2 fraudulent purchases charged onto my card within a week, one of them going through and all my money got taken. I made a report stating my account was hacked, and there was a fraudulent charge put onto my card, resulting in my money to be taken when that money was for emergencies. I still have yet heard anything back about my report, nor have I got a refund of my money. I never use my PayPal card, it just stores my emergency money. I need this fixed ASAP!",1,2024-11-15 17:55:07,91
Why do i need to go through 20 different security checks just to log into my Godforsaken ACCOUNT!!!??? I was asked 20 different times if i was Human like what the heck is that? This NEVER happens before paypal is just a TRASHH heap right now and the new updates are just making matters worst.👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2024-11-15 17:52:00,55
"Very useless and frustrating app, common to upload photo is a big problem for them, I opened an account with them and after linking my bank card to PayPal they rejected it and asked me to link another one which is suspicious to me and they are full of disappointment and will unlimit you by saying that you are not allowed to use your PayPal account anymore, I'm so glad to have deleted their data wasting app and also blocked them on my email, i would have given it 0 star ⭐ if there's a room for it",1,2024-11-15 17:50:02,98
They hide the way to choose friends and familly support ..or for goods ..so when you send money to family or friends it goes like for goods or shoping . So you loose about 10 $ . And also the price of money changes is hiegh . I sent 300 Euro to my family and i lost 10 Euro because i didnt choose it like family support . And i lost also about 15 Euro different prices in money exchanges.,2,2024-11-15 16:35:28,80
